Bai,STT,Nghia_Tieng_Viet,Dap_An_Tieng_Nhat,Han_Tu,Han_Viet
3,14,"hành lang, đại sảnh",,,
3,15,căn phòng,,部屋,
3,16,"nhà vệ sinh, phòng vệ sinh, toa-lét",,トイレ（お手洗い）,
3,17,cầu thang,,階段,
3,18,thang máy,,,
3,19,thang cuốn,,,
3,20,đất nước của anh/chị,,［お］国,
3,21,công ty,,会社,
3,22,nhà,,家,
3,23,"máy điện thoại, điện thoại",,電話,
3,24,giày,,靴,
3,25,cà vạt,,,
3,26,rượu vang,,,
3,27,thuốc lá,,煙草,
3,28,quầy bán,,売り場,
3,29,"tầng hầm, dưới mặt đất",,地下,
3,30,tầng thứ ~,,～階,
3,31,tầng mấy,,何階,
3,32,~ yên,,～円,
3,33,bao nhiêu tiền,,,
3,34,trăm,,百,
3,35,nghìn,,千,
3,36,"mười nghìn, vạn",,万,
3,37,xin lỗi,,,
3,38,cách nói lịch sự của 'là',,,
3,39,cho tôi xem ~,,［～を］見せてください,
3,40,"thế thì, vậy thì",,,
3,41,cho tôi ~,,,
3,42,tên một nhà ga ở Osaka,,新大阪,
3,43,Ý,,,
3,44,Thụy Sĩ,,,
3,45,tên các công ty giả tưởng,,,
4,1,"dậy, thức dậy",,起きます,
4,2,"ngủ, đi ngủ",,寝ます,
4,3,làm việc,,働きます,
4,4,"nghỉ, nghỉ ngơi",,休みます,
4,5,học,,勉強します,
4,6,"hết, kết thúc, xong",,終わります,
4,7,bách hóa,,,
4,8,ngân hàng,,銀行,
4,9,bưu điện,,郵便局,
4,10,thư viện,,図書館,
4,11,bảo tàng mỹ thuật,,美術館,
4,12,bây giờ,,今,
4,13,~ giờ,,～時,
4,14,~ phút,,～分,
4,15,"rưỡi, nửa",,半,
4,16,mấy giờ,,何時,
4,17,mấy phút,,何分,
4,18,"sáng, trước 12 giờ trưa",,午前,
4,19,"chiều, sau 12 giờ trưa",,午後,
4,20,"buổi sáng, sáng",,朝,
4,21,"buổi trưa, trưa",,昼,
4,22,"buổi tối, tối",,晩（夜）,
4,23,hôm kia,,一昨日,
4,24,hôm qua,,昨日,
4,25,hôm nay,,今日,
4,26,ngày mai,,明日,
4,27,ngày kia,,明後日,
4,28,sáng nay,,今朝,
4,29,tối nay,,今晩,
4,30,"nghỉ, nghỉ phép, ngày nghỉ",,休み,
4,31,nghỉ trưa,,昼休み,
4,32,"hàng sáng, mỗi sáng",,毎朝,
4,33,"hàng tối, mỗi tối",,毎晩,
4,34,"hàng ngày, mỗi ngày",,毎日,
4,35,thứ hai,,月曜日,
4,36,thứ ba,,火曜日,
4,37,thứ tư,,水曜日,
4,38,thứ năm,,木曜日,
4,39,thứ sáu,,金曜日,
4,40,thứ bảy,,土曜日,
4,41,chủ nhật,,日曜日,
4,42,thứ mấy,,何曜日,
4,43,số,,番号,
4,44,"số bao nhiêu, số mấy",,何番,
4,45,~ từ,,,
4,46,~ đến,,,
4,47,~ và,,,
4,48,"phía đó, đằng đó, chỗ đó, đó",,,
4,49,Anh/chị vất vả quá,,大変ですね,
4,50,"ừ, à",,,
4,51,số điện thoại dịch vụ hướng dẫn số điện thoại,,,
4,52,"Nhờ anh/chị, xin vui lòng giúp đỡ",,お願いします,
4,53,"Tôi hiểu rồi ạ, vâng được rồi ạ",,,
4,54,số điện thoại mà ông/bà muốn hỏi,,お問い合わせの番号,
4,55,Xin cảm ơn ông/bà,,,
4,56,New York,,,
4,57,Bắc Kinh,,北京,
4,58,Luân Đôn,,,
4,59,Băng Cốc,,,
4,60,Los Angeles,,,
4,61,tên một bảo tàng mỹ thuật giả tưởng,,大和美術館,
4,62,tên một bách hóa giả tưởng,,朝日デパート,
4,63,tên một thư viện giả tưởng,,緑図書館,
4,64,tên một ngân hàng giả tưởng,,アップル銀行,
5,1,đi,,行きます,
5,2,đến,,来ます,
5,3,về,,帰ります,
5,4,trường học,,学校,
5,5,siêu thị,,,
5,6,"ga, nhà ga",,駅,
5,7,máy bay,,飛行機,
5,8,"thuyền, tàu thủy",,船,
5,9,tàu điện,,電車,
5,10,tàu điện ngầm,,地下鉄,
5,11,tàu Shinkansen,,新幹線,
5,12,xe buýt,,,
5,13,tắc-xi,,,
5,14,xe đạp,,自転車,
5,15,đi bộ,,歩いて,
5,16,người,,人,
5,17,"bạn, bạn bè",,友達,
5,18,"anh ấy, bạn trai",,彼,
5,19,"chị ấy, bạn gái",,彼女,
5,20,gia đình,,家族,
5,21,một mình,,一人で,
5,22,tuần trước,,先週,
5,23,tuần này,,今週,
5,24,tuần sau,,来週,
5,25,tháng này,,今月,
5,26,tháng sau,,来月,
5,27,năm ngoái,,去年,
5,28,năm nay,,今年,
5,29,năm sau,,来年,
5,30,tháng ~,,～月,
5,31,tháng mấy,,何月,
5,32,ngày mồng 1,,一日,
5,33,"ngày mồng 2, 2 ngày",,二日,
5,34,"ngày mồng 3, 3 ngày",,三日,
5,35,"ngày mồng 4, 4 ngày",,四日,
5,36,"ngày mồng 5, 5 ngày",,五日,
5,37,"ngày mồng 6, 6 ngày",,六日,
5,38,"ngày mồng 7, 7 ngày",,七日,
5,39,"ngày mồng 8, 8 ngày",,八日,
5,40,"ngày mồng 9, 9 ngày",,九日,
5,41,"ngày mồng 10, 10 ngày",,十日,
5,42,"ngày 14, 14 ngày",,十四日,
5,43,"ngày 20, 20 ngày",,二十日,
5,44,"ngày 24, 24 ngày",,二十四日,
5,45,"ngày ~, ~ ngày",,～日,
5,46,"ngày mấy, ngày bao nhiêu, mấy ngày, bao nhiêu ngày",,何日,
5,47,"bao giờ, khi nào",,,
5,48,sinh nhật,,誕生日,
5,49,tàu thường,,普通,
5,50,tàu tốc hành,,急行,
5,51,tàu tốc hành đặc biệt,,特急,
5,52,tiếp theo,,次の,
5,53,Không có gì,,,
5,54,sân ga số ~,,～番線,
5,55,tên một khu phố ở Kyushu,,博多,
5,56,tên một khu phố ở Kyoto,,伏見,
5,57,tên một khu phố ở Osaka,,甲子園,
5,58,Lâu đài Osaka,,大阪城,
6,1,ăn,,食べます,
6,2,uống,,飲みます,
6,3,hút thuốc lá,,吸います,
6,4,"xem, nhìn, trông",,見ます,
6,5,nghe,,聞きます,
6,6,đọc,,読みます,
6,7,"viết, vẽ",,書きます,
6,8,mua,,買います,
6,9,chụp ảnh,,撮ります,
6,10,làm,,,
6,11,gặp bạn,,会います,
6,12,"cơm, bữa ăn",,ご飯,
6,13,cơm sáng,,朝ご飯,
6,14,cơm trưa,,昼ご飯,
6,15,cơm tối,,晩ご飯,
6,16,bánh mì,,,
6,17,trứng,,卵,
6,18,thịt,,肉,
6,19,cá,,魚,
6,20,rau,,野菜,
6,21,"hoa quả, trái cây",,果物,
6,22,nước,,水,
6,23,trà,,お茶,
6,24,trà đen,,紅茶,
6,25,sữa bò,,牛乳,
6,26,sữa,,,
6,27,nước hoa quả,,,
6,28,bia,,,
6,29,"rượu, rượu sake",,［お］酒,
6,30,"video, băng video, đầu video",,,
6,31,"phim, điện ảnh",,映画,
6,32,đĩa CD,,,
6,33,thư,,手紙,
6,34,báo cáo,,,
6,35,ảnh,,写真,
6,36,"cửa hàng, tiệm",,店,
6,37,nhà hàng,,,
6,38,vườn,,庭,
6,39,bài tập về nhà,,宿題,
6,40,quần vợt,,,
6,41,bóng đá,,,
6,42,việc ngắm hoa anh đào,,［お］花見,
6,43,cái gì,,何,
6,44,"cùng, cùng nhau",,一緒に,
6,45,một chút,,,
6,46,"luôn luôn, lúc nào cũng",,,
6,47,thỉnh thoảng,,時々,
6,48,"sau đó, tiếp theo",,,
6,49,"vâng, được",,,
6,50,"Được đấy nhỉ, hay quá",,,
6,51,"Tôi hiểu rồi, vâng ạ",,分かりました,
6,52,"Có gì đấy ạ, cái gì vậy?",,何ですか,
6,53,Hẹn gặp lại ngày mai,,じゃ、また明日,
6,54,Mexico,,,
6,55,Công viên lâu đài Osaka,,大阪城公園,
7,1,cắt,,切ります,
7,2,gửi,,送ります,
7,3,"cho, tặng",,上げます,
7,4,nhận,,貰います,
7,5,"cho mượn, cho vay",,貸します,
7,6,"mượn, vay",,借ります,
7,7,dạy,,教えます,
7,8,"học, tập",,習います,
7,9,gọi điện thoại,,電話をかけます,
7,10,tay,,手,
7,11,đũa,,箸,
7,12,thìa,,,
7,13,dao,,,
7,14,nĩa,,,
7,15,kéo,,鋏,
7,16,fax,,,
7,17,máy đánh chữ,,,
7,18,máy vi tính cá nhân,,,
7,19,cái đục lỗ,,,
7,20,cái dập ghim,,,
7,21,băng dính,,,
7,22,cái tẩy,,消しゴム,
7,23,giấy,,紙,
7,24,hoa,,花,
7,25,áo sơ mi,,,
7,26,"quà tặng, tặng phẩm",,,
7,27,"đồ đạc, hành lý",,荷物,
7,28,tiền,,お金,
7,29,vé,,切符,
7,30,Giáng sinh,,,
7,31,bố của mình,,父,
7,32,mẹ của mình,,母,
7,33,bố của người khác / dùng để gọi bố mình,,お父さん,
7,34,mẹ của người khác / dùng để gọi mẹ mình,,お母さん,
7,35,"đã, rồi",,,
7,36,chưa,,,
7,37,"từ bây giờ, sau đây",,,
7,38,"Hay nhỉ, đẹp nhỉ",,素敵ですね,
7,39,"Xin lỗi, có ai ở nhà không?",,ご免ください,
7,40,Chào mừng anh/chị đã đến chơi,,,
7,41,Mời anh/chị vào,,どうぞお上がりください,
7,42,Xin thất lễ,,失礼します,
7,43,Anh/chị dùng ~ có được không?,,,
7,44,Xin nhận / mời dùng trước khi ăn uống,,,
7,45,"du lịch, chuyến du lịch",,旅行,
7,46,quà,,お土産,
7,47,Châu Âu,,,
7,48,Tây Ban Nha,,,
8,1,đẹp trai,,,
8,2,"đẹp, sạch",,綺麗［な］,
8,3,yên tĩnh,,静か［な］,
8,4,náo nhiệt,,賑やか［な］,
8,5,nổi tiếng,,有名［な］,
8,6,"tốt bụng, thân thiện",,親切［な］,
8,7,khỏe,,元気［な］,
8,8,rảnh rỗi,,暇［な］,
8,9,tiện lợi,,便利［な］,
8,10,"đẹp, hay",,素敵［な］,
8,11,"lớn, to",,大きい,
8,12,"bé, nhỏ",,小さい,
8,13,mới,,新しい,
8,14,cũ,,古い,
8,15,tốt,,良い,
8,16,xấu,,悪い,
8,17,nóng,,暑い,
8,18,"lạnh, rét",,寒い,
8,19,"lạnh, buốt",,冷たい,
8,20,khó,,難しい,
8,21,dễ,,易しい,
8,22,"đắt, cao",,高い,
8,23,rẻ,,安い,
8,24,thấp,,低い,
8,25,"thú vị, hay",,面白い,
8,26,ngon,,美味しい,
8,27,bận,,忙しい,
8,28,vui,,楽しい,
8,29,trắng,,白い,
8,30,đen,,黒い,
8,31,đỏ,,赤い,
8,32,xanh da trời,,青い,
8,33,anh đào,,桜,
8,34,núi,,山,
8,35,"thị trấn, thị xã, thành phố",,町,
8,36,đồ ăn,,食べ物,
8,37,xe ô tô,,車,
8,38,"nơi, chỗ",,所,
8,39,kí túc xá,,寮,
8,40,học,,勉強,
8,41,"cuộc sống, sinh hoạt",,生活,
8,42,công việc,,［お］仕事,
8,43,thế nào,,,
8,44,~ như thế nào,,,
8,45,cái nào,,,
8,46,"rất, lắm",,,
8,47,không ~ lắm,,,
8,48,"và, thêm nữa",,,
8,49,"~, nhưng ~",,,
8,50,Anh/chị có khỏe không?,,お元気ですか,
8,51,"Thế à, như vậy nhỉ",,,
8,52,Anh/chị đã quen với cuộc sống ở Nhật chưa?,,日本の生活に慣れましたか,
8,53,Anh/chị dùng thêm một chén ~ nữa được không?,,［～、］もう一杯いかがですか,
8,54,"Không, đủ rồi ạ",,いいえ、結構です,
8,55,Đã ~ rồi nhỉ,,,
8,56,Sắp đến lúc tôi phải xin phép rồi,,そろそろ失礼します,
8,57,Lần sau anh/chị lại đến chơi nhé,,,
8,58,Núi Phú Sĩ,,富士山,
8,59,Hồ Biwa,,琵琶湖,
8,60,Thượng Hải,,上海,
8,61,Bảy chàng võ sĩ Samurai,,七人の侍,
8,62,Chùa Kinkaku-ji,,金閣寺,
9,1,"hiểu, nắm được",,分かります,
9,2,"có, sở hữu",,,
9,3,thích,,好き［な］,
9,4,"ghét, không thích",,嫌い［な］,
9,5,"giỏi, khéo",,上手［な］,
9,6,kém,,下手［な］,
9,7,"món ăn, việc nấu ăn",,料理,
9,8,đồ uống,,飲み物,
9,9,thể thao,,,
9,10,bóng chày,,野球,
9,11,"nhảy, khiêu vũ",,,
9,12,âm nhạc,,音楽,
9,13,bài hát,,歌,
9,14,nhạc cổ điển,,,
9,15,nhạc jazz,,,
9,16,buổi hòa nhạc,,,
9,17,karaoke,,,
9,18,Kabuki,,歌舞伎,
9,19,"tranh, hội họa",,絵,
9,20,chữ,,字,
9,21,chữ Hán,,漢字,
9,22,chữ Hiragana,,平仮名,
9,23,chữ Katakana,,片仮名,
9,24,chữ La Mã,,ローマ字,
9,25,tiền lẻ,,細かいお金,
9,26,"vé xem hòa nhạc, xem phim",,,
9,27,thời gian,,時間,
9,28,"việc bận, công chuyện",,用事,
9,29,"cuộc hẹn, lời hứa",,約束,
9,30,chồng của người khác,,ご主人,
9,31,chồng của mình,,夫／主人,
9,32,vợ của người khác,,奥さん,
9,33,vợ của mình,,妻／家内,
9,34,con cái,,子供,
9,35,"tốt, rõ",,,
9,36,"đại khái, đại thể",,大体,
9,37,nhiều,,沢山,
9,38,"ít, một ít",,少し,
9,39,hoàn toàn không,,全然,
9,40,"sớm, nhanh",,早く,
9,41,~ từ,,,
9,42,tại sao,,,
9,43,"Thật đáng tiếc nhỉ, buồn nhỉ",,残念ですね,
9,44,Xin lỗi,,,
9,45,a-lô,,,
9,46,"a, à",,,
9,47,Anh/chị cùng ~ với chúng tôi được không?,,一緒にいかがですか,
9,48,~ thì có lẽ không được rồi,,,
9,49,Không được à?,,駄目ですか,
9,50,Hẹn anh/chị lần sau vậy,,また今度お願いします,
9,51,Ozawa Seiji,,小澤征爾,
10,1,"có, ở",,,
10,2,có,,,
10,3,"nhiều, đa dạng",,色々［な］,
10,4,người đàn ông,,男の人,
10,5,người đàn bà,,女の人,
10,6,cậu con trai,,男の子,
10,7,cô con gái,,女の子,
10,8,chó,,犬,
10,9,mèo,,猫,
10,10,"cây, gỗ",,木,
10,11,"vật, đồ vật",,物,
10,12,phim,,,
10,13,pin,,電池,
10,14,hộp,,箱,
10,15,công tắc,,,
10,16,tủ lạnh,,冷蔵庫,
10,17,bàn,,,
10,18,giường,,,
10,19,giá sách,,棚,
10,20,cửa,,,
10,21,cửa sổ,,窓,
10,22,"hộp thư, hòm thư",,,
10,23,tòa nhà,,,
10,24,công viên,,公園,
10,25,"quán giải khát, quán cà phê",,喫茶店,
10,26,hiệu sách,,本屋,
10,27,"hiệu ~, cửa hàng ~",,～屋,
10,28,"bến xe, điểm lên xuống xe",,乗り場,
10,29,tỉnh,,県,
10,30,trên,,上,
10,31,dưới,,下,
10,32,trước,,前,
10,33,sau,,後ろ,
10,34,phải,,右,
10,35,trái,,左,
10,36,"trong, giữa",,中,
10,37,ngoài,,外,
10,38,bên cạnh,,隣,
10,39,gần,,近く,
10,40,giữa,,間,
10,41,"~ và ~, v.v.",,,
10,42,~ nhất,,一番～,
10,43,"giá thứ ~, tầng thứ ~",,～段目,
10,44,Cảm ơn,,,
10,45,tương ớt,,,
10,46,bên trong cùng,,奥,
10,47,góc gia vị,,,
10,48,Công viên Tokyo Disneyland,,東京ディズニーランド,
10,49,tên một siêu thị giả tưởng,,,
11,1,có con,,［子供が～］います,
11,2,ở Nhật,,［日本に～］います,
11,3,"mất, tốn",,,
11,4,nghỉ làm việc,,［会社を～］休みます,
11,5,một cái,,一つ,
11,6,hai cái,,二つ,
11,7,ba cái,,三つ,
11,8,bốn cái,,四つ,
11,9,năm cái,,五つ,
11,10,sáu cái,,六つ,
11,11,bảy cái,,七つ,
11,12,tám cái,,八つ,
11,13,chín cái,,九つ,
11,14,mười cái,,十,
11,15,"mấy cái, bao nhiêu cái",,,
11,16,một người,,一人,
11,17,hai người,,二人,
11,18,~ người,,～人,
11,19,"~ cái dùng để đếm máy móc, xe cộ",,～台,
11,20,"~ tờ, tấm",,～枚,
11,21,~ lần,,～回,
11,22,táo,,,
11,23,quýt,,,
11,24,bánh sandwich,,,
11,25,món cơm cà ri,,,
11,26,kem,,,
11,27,tem,,切手,
11,28,bưu thiếp,,葉書,
11,29,phong bì,,封筒,
11,30,bưu phẩm gửi nhanh,,速達,
11,31,bưu phẩm gửi bảo đảm,,書留,
11,32,thư chuyển bằng đường hàng không,,,
11,33,gửi bằng đường hàng không,,航空便,
11,34,gửi bằng đường biển,,船便,
11,35,bố mẹ,,両親,
11,36,anh chị em,,兄弟,
11,37,anh trai,,兄,
11,38,anh trai của người khác,,お兄さん,
11,39,chị gái,,姉,
11,40,chị gái của người khác,,お姉さん,
11,41,em trai,,弟,
11,42,em trai của người khác,,弟さん,
11,43,em gái,,妹,
11,44,em gái của người khác,,妹さん,
11,45,nước ngoài,,外国,
11,46,~ tiếng,,～時間,
11,47,~ tuần,,～週間,
11,48,~ tháng,,～か月,
11,49,~ năm,,～年,
11,50,khoảng ~,,,
11,51,bao lâu,,,
11,52,tổng cộng,,全部で,
11,53,tất cả,,皆,
11,54,chỉ ~,,,
11,55,"Xin mời vào, xin chào quý khách",,,
11,56,Trời đẹp nhỉ,,いい［お］天気ですね。,
11,57,Anh/chị đi ra ngoài đấy à?,,お出かけですか。,
11,58,Tôi đi ~ một chút,,,
11,59,Anh/chị đi nhé,,行っていらっしゃい。,
11,60,Tôi đi đây,,行ってまいります。,
11,61,"sau đó, tiếp theo",,,
11,62,Úc,,,
12,1,"đơn giản, dễ",,簡単［な］,
12,2,gần,,近い,
12,3,xa,,遠い,
12,4,"nhanh, sớm",,速い／早い,
12,5,"chậm, muộn",,遅い,
12,6,nhiều người,,［人が～］多い,
12,7,ít người,,［人が～］少ない,
12,8,ấm,,温かい／暖かい,
12,9,mát,,涼しい,
12,10,ngọt,,甘い,
12,11,cay,,辛い,
12,12,nặng,,重い,
12,13,nhẹ,,軽い,
12,14,"thích, chọn, dùng",,,
12,15,mùa,,季節,
12,16,mùa xuân,,春,
12,17,mùa hè,,夏,
12,18,mùa thu,,秋,
12,19,mùa đông,,冬,
12,20,thời tiết,,天気,
12,21,mưa,,雨,
12,22,tuyết,,雪,
12,23,có mây,,曇り,
12,24,khách sạn,,,
12,25,sân bay,,空港,
12,26,"biển, đại dương",,海,
12,27,thế giới,,世界,
12,28,tiệc,,,
12,29,lễ hội,,［お］祭り,
12,30,"kỳ thi, bài thi",,試験,
12,31,món Sukiyaki,,すき焼き,
12,32,món gỏi cá sống Sashimi,,刺身,
12,33,Sushi,,［お］寿司,
12,34,Tempura,,天ぷら,
12,35,nghệ thuật cắm hoa,,生け花,
12,36,lá đỏ,,紅葉,
12,37,"phía nào, đằng nào, chỗ nào, đâu",,,
12,38,cả hai,,,
12,39,hơn hẳn,,,
12,40,lần đầu tiên,,初めて,
12,41,Tôi đã về đây,,,
12,42,Anh/chị đã về đấy à,,お帰りなさい。,
12,43,"Ghê quá nhỉ, hay quá nhỉ",,,
12,44,nhưng,,,
12,45,Tôi mệt rồi,,疲れました。,
12,46,Lễ hội Gion,,祇園祭,
12,47,Hồng Kông,,香港,
12,48,Singapore,,,
12,49,tên một siêu thị giả tưởng,,毎日屋,
12,50,tên một siêu thị giả tưởng,,,
12,51,tên một siêu thị giả tưởng,,,
13,1,chơi,,遊びます,
13,2,bơi,,泳ぎます,
13,3,đón,,迎えます,
13,4,mệt,,疲れます,
13,5,gửi thư,,［手紙を～］出します,
13,6,vào quán giải khát,,［喫茶店に～］入ります,
13,7,ra khỏi quán giải khát,,［喫茶店を～］出ます,
13,8,"kết hôn, lập gia đình, cưới",,結婚します,
13,9,mua hàng,,買い物します,
13,10,ăn cơm,,食事します,
13,11,đi dạo ở công viên,,［公園を～］散歩します,
13,12,"vất vả, khó khăn, khổ",,大変［な］,
13,13,muốn có,,欲しい,
13,14,"buồn, cô đơn",,寂しい,
13,15,rộng,,広い,
13,16,"chật, hẹp",,狭い,
13,17,"văn phòng hành chính quận, thành phố",,市役所,
13,18,bể bơi,,,
13,19,sông,,川,
13,20,kinh tế,,経済,
13,21,mỹ thuật,,美術,
13,22,câu cá,,釣り,
13,23,trượt tuyết,,,
13,24,"họp, cuộc họp",,会議,
13,25,đăng ký,,登録,
13,26,cuối tuần,,週末,
13,27,"khoảng ~, dùng cho thời gian",,～頃,
13,28,cái gì đó,,何か,
13,29,"đâu đó, chỗ nào đó",,,
13,30,Tôi đói rồi,,,
13,31,Tôi no rồi,,,
13,32,Tôi khát,,,
13,33,Thế à. / Như vậy nhỉ,,,
13,34,Nhất trí. / Chúng ta thống nhất như thế,,,
13,35,Anh/chị dùng món gì ạ?,,ご注文は？,
13,36,"cơm suất, cơm phần",,定食,
13,37,món cơm thịt bò,,牛どん,
13,38,Xin anh/chị vui lòng đợi một chút,,［少々］お待ちください。,
13,39,"riêng ra, để riêng",,別々に,
13,40,Nga,,,
13,41,tên một nhà hàng giả tưởng,,,
13,42,tên một chương trình truyền hình giả tưởng,,,
14,1,"bật điện, bật máy điều hòa",,点けます,
14,2,"tắt điện, tắt máy điều hòa",,消します,
14,3,"mở cửa, mở cửa sổ",,開けます,
14,4,"đóng cửa, đóng cửa sổ",,閉めます,
14,5,"vội, gấp",,急ぎます,
14,6,"đợi, chờ",,待ちます,
14,7,"dừng, đỗ xe",,止めます,
14,8,"rẽ phải, quẹo phải",,［右へ～］曲がります,
14,9,"mang, cầm",,持ちます,
14,10,lấy,,取ります,
14,11,"giúp, giúp đỡ",,手伝います,
14,12,"gọi taxi, gọi tên",,呼びます,
14,13,"nói, nói chuyện",,話します,
14,14,"cho xem, trình cho xem",,見せます,
14,15,"nói địa chỉ, cho biết địa chỉ",,［住所を～］教えます,
14,16,bắt đầu,,始めます,
14,17,"mưa rơi, tuyết rơi",,［雨が～］降ります,
14,18,"sao chép, copy",,,
14,19,máy điều hòa,,,
14,20,hộ chiếu,,,
14,21,tên,,名前,
14,22,địa chỉ,,住所,
14,23,bản đồ,,地図,
14,24,muối,,塩,
14,25,đường,,砂糖,
14,26,cách đọc,,読み方,
14,27,"cách làm, cách ~",,～方,
14,28,"chậm, thong thả, thoải mái",,,
14,29,"ngay, lập tức",,直ぐ,
14,30,"lại, lần nữa",,,
14,31,"sau, sau đó",,後で,
14,32,thêm một chút nữa thôi,,もう少し,
14,33,thêm ~,,,
14,34,Được chứ. / Được ạ,,,
14,35,Thôi nào. / Nào,,,
14,36,Ô! / Ủa?,,,
14,37,Anh/chị hãy rẽ phải ở chỗ đèn tín hiệu,,信号を右へ曲がってください,
14,38,thẳng,,,
14,39,Gửi anh/chị tiền này. / Tôi trả bằng cái này,,これでお願いします。,
14,40,"tiền lẻ, tiền thừa",,お釣り,
14,41,"Umeda, tên một địa phương ở Osaka",,梅田,
15,1,đứng,,立ちます,
15,2,ngồi,,座ります,
15,3,"dùng, sử dụng",,使います,
15,4,"đặt, để",,置きます,
15,5,"làm, chế tạo, sản xuất",,作ります／造ります,
15,6,bán,,売ります,
15,7,biết,,知ります,
15,8,"sống, ở",,住みます,
15,9,nghiên cứu,,研究します,
15,10,biết,,知っています,
15,11,sống ở Osaka,,［大阪に～］住んでいます,
15,12,"tài liệu, tư liệu",,資料,
15,13,ca-ta-lô,,,
15,14,bảng giờ tàu chạy,,時刻表,
15,15,quần áo,,服,
15,16,sản phẩm,,製品,
15,17,phần mềm,,,
15,18,chuyên môn,,専門,
15,19,nha sĩ,,歯医者,
15,20,hiệu cắt tóc,,床屋,
15,21,quầy bán vé trong nhà hát,,,
15,22,độc thân,,独身,
