Bai,STT,Nghia_Tieng_Viet,Dap_An_Tieng_Nhat,Han_Tu,Han_Viet
3,6,"phía đó, đằng đó, chỗ đó, đó",そちら,,
3,7,"phía kia, đằng kia, chỗ kia, kia",あちら,,
3,8,"phía nào, đằng nào, chỗ nào, đâu",どちら,,
3,9,"lớp học, phòng học",きょうしつ,教室,GIÁO THẤT
3,10,nhà ăn,しょくどう,食堂,THỰC ĐƯỜNG
3,11,văn phòng,じむしょ,事務所,SỰ VỤ SỞ
3,12,phòng họp,かいぎしつ,会議室,HỘI NGHỊ THẤT
3,13,"bộ phận tiếp tân, phòng thường trực",うけつけ,受付,THỤ PHÓ
3,14,"hành lang, đại sảnh",ロビー,,
3,15,căn phòng,へや,部屋,BỘ ỐC
3,16,"nhà vệ sinh, phòng vệ sinh, toa-lét",トイレ（おてあらい）,トイレ（お手洗い）,THỦ TẨY
3,17,cầu thang,かいだん,階段,GIAI ĐOẠN
3,18,thang máy,エレベーター,,
3,19,thang cuốn,エスカレーター,,
3,20,đất nước của anh/chị,［お］くに,［お］国,QUỐC
3,21,công ty,かいしゃ,会社,HỘI XÃ
3,22,nhà,うち,家,GIA
3,23,"máy điện thoại, điện thoại",でんわ,電話,ĐIỆN THOẠI
3,24,giày,くつ,靴,NGOA
3,25,cà vạt,ネクタイ,,
3,26,rượu vang,ワイン,,
3,27,thuốc lá,たばこ,煙草,YÊN THẢO
3,28,quầy bán,うりば,売り場,MẠI TRƯỜNG
3,29,"tầng hầm, dưới mặt đất",ちか,地下,ĐỊA HẠ
3,30,tầng thứ ~,～かい（～がい）,～階,GIAI
3,31,tầng mấy,なんがい,何階,HÀ GIAI
3,32,~ yên,～えん,～円,VIÊN
3,33,bao nhiêu tiền,いくら,,
3,34,trăm,ひゃく,百,BÁCH
3,35,nghìn,せん,千,THIÊN
3,36,"mười nghìn, vạn",まん,万,VẠN
3,37,xin lỗi,すみません,,
3,38,cách nói lịch sự của 'là',～でございます,,
3,39,cho tôi xem ~,［～を］みせてください,［～を］見せてください,KIẾN
3,40,"thế thì, vậy thì",じゃ,,
3,41,cho tôi ~,［～を］ください,,
3,42,tên một nhà ga ở Osaka,しんおおさか,新大阪,TÂN ĐẠI PHẢN
3,43,Ý,イタリア,,
3,44,Thụy Sĩ,スイス,,
3,45,tên các công ty giả tưởng,ＭＴ／ヨーネン／アキックス,,
4,1,"dậy, thức dậy",おきます,起きます,KHỞI
4,2,"ngủ, đi ngủ",ねます,寝ます,TẨM
4,3,làm việc,はたらきます,働きます,ĐỘNG
4,4,"nghỉ, nghỉ ngơi",やすみます,休みます,HƯU
4,5,học,べんきょうします,勉強します,MIỄN CƯỜNG
4,6,"hết, kết thúc, xong",おわります,終わります,CHUNG
4,7,bách hóa,デパート,,
4,8,ngân hàng,ぎんこう,銀行,NGÂN HÀNH
4,9,bưu điện,ゆうびんきょく,郵便局,BƯU TIỆN CỤC
4,10,thư viện,としょかん,図書館,ĐỒ THƯ QUÁN
4,11,bảo tàng mỹ thuật,びじゅつかん,美術館,MỸ THUẬT QUÁN
4,12,bây giờ,いま,今,KIM
4,13,~ giờ,～じ,～時,THỜI
4,14,~ phút,～ふん（～ぷん）,～分,PHÂN
4,15,"rưỡi, nửa",はん,半,BÁN
4,16,mấy giờ,なんじ,何時,HÀ THỜI
4,17,mấy phút,なんぷん,何分,HÀ PHÂN
4,18,"sáng, trước 12 giờ trưa",ごぜん,午前,NGỌ TIỀN
4,19,"chiều, sau 12 giờ trưa",ごご,午後,NGỌ HẬU
4,20,"buổi sáng, sáng",あさ,朝,TRIỀU
4,21,"buổi trưa, trưa",ひる,昼,TRÚ
4,22,"buổi tối, tối",ばん（よる）,晩（夜）,VÃN DẠ
4,23,hôm kia,おととい,一昨日,NHẤT TẠC NHẬT
4,24,hôm qua,きのう,昨日,TẠC NHẬT
4,25,hôm nay,きょう,今日,KIM NHẬT
4,26,ngày mai,あした,明日,MINH NHẬT
4,27,ngày kia,あさって,明後日,MINH HẬU NHẬT
4,28,sáng nay,けさ,今朝,KIM TRIỀU
4,29,tối nay,こんばん,今晩,KIM VÃN
4,30,"nghỉ, nghỉ phép, ngày nghỉ",やすみ,休み,HƯU
4,31,nghỉ trưa,ひるやすみ,昼休み,TRÚ HƯU
4,32,"hàng sáng, mỗi sáng",まいあさ,毎朝,MỖI TRIỀU
4,33,"hàng tối, mỗi tối",まいばん,毎晩,MỖI VÃN
4,34,"hàng ngày, mỗi ngày",まいにち,毎日,MỖI NHẬT
4,35,thứ hai,げつようび,月曜日,DIỆU NHẬT
4,36,thứ ba,かようび,火曜日,DIỆU NHẬT
4,37,thứ tư,すいようび,水曜日,DIỆU NHẬT
4,38,thứ năm,もくようび,木曜日,DIỆU NHẬT
4,39,thứ sáu,きんようび,金曜日,DIỆU NHẬT
4,40,thứ bảy,どようび,土曜日,DIỆU NHẬT
4,41,chủ nhật,にちようび,日曜日,DIỆU NHẬT
4,42,thứ mấy,なんようび,何曜日,DIỆU NHẬT
4,43,số,ばんごう,番号,PHIÊN HIỆU
4,44,"số bao nhiêu, số mấy",なんばん,何番,HÀ PHIÊN
4,45,~ từ,～から,,
4,46,~ đến,～まで,,
4,47,~ và,～と～,,
4,48,"phía đó, đằng đó, chỗ đó, đó",そちら,,
4,49,Anh/chị vất vả quá,たいへんですね,大変ですね,ĐẠI BIẾN
4,50,"ừ, à",えーと,,
4,51,số điện thoại dịch vụ hướng dẫn số điện thoại,１０４,,
4,52,"Nhờ anh/chị, xin vui lòng giúp đỡ",おねがいします,お願いします,NGUYỆN
4,53,"Tôi hiểu rồi ạ, vâng được rồi ạ",かしこまりました,,
4,54,số điện thoại mà ông/bà muốn hỏi,おといあわせのばんごう,お問い合わせの番号,PHIÊN HIỆU
4,55,Xin cảm ơn ông/bà,どうもありがとうございました,,
4,56,New York,ニューヨーク,,
4,57,Bắc Kinh,ペキン,北京,BẮC KINH
4,58,Luân Đôn,ロンドン,,
4,59,Băng Cốc,バンコク,,
4,60,Los Angeles,ロサンゼルス,,
4,61,tên một bảo tàng mỹ thuật giả tưởng,やまとびじゅつかん,大和美術館,MỸ THUẬT QUÁN
4,62,tên một bách hóa giả tưởng,あさひデパート,朝日デパート,TRIỀU NHẬT
4,63,tên một thư viện giả tưởng,みどりとしょかん,緑図書館,ĐỒ THƯ QUÁN
4,64,tên một ngân hàng giả tưởng,アップルぎんこう,アップル銀行,NGÂN HÀNH
5,1,đi,いきます,行きます,HÀNH
5,2,đến,きます,来ます,LAI
5,3,về,かえります,帰ります,QUY
5,4,trường học,がっこう,学校,HỌC HIỆU
5,5,siêu thị,スーパー,,
5,6,"ga, nhà ga",えき,駅,DỊCH
5,7,máy bay,ひこうき,飛行機,PHI HÀNH CƠ
5,8,"thuyền, tàu thủy",ふね,船,THUYỀN
5,9,tàu điện,でんしゃ,電車,ĐIỆN XA
5,10,tàu điện ngầm,ちかてつ,地下鉄,ĐỊA HẠ THIẾT
5,11,tàu Shinkansen,しんかんせん,新幹線,TÂN CÁN TUYẾN
5,12,xe buýt,バス,,
5,13,tắc-xi,タクシー,,
5,14,xe đạp,じてんしゃ,自転車,TỰ CHUYỂN XA
5,15,đi bộ,あるいて,歩いて,BỘ
5,16,người,ひと,人,NHÂN
5,17,"bạn, bạn bè",ともだち,友達,HỮU ĐẠT
5,18,"anh ấy, bạn trai",かれ,彼,BỈ
5,19,"chị ấy, bạn gái",かのじょ,彼女,BỈ NỮ
5,20,gia đình,かぞく,家族,GIA TỘC
5,21,một mình,ひとりで,一人で,NHẤT NHÂN
5,22,tuần trước,せんしゅう,先週,TIÊN CHU
5,23,tuần này,こんしゅう,今週,KIM CHU
5,24,tuần sau,らいしゅう,来週,LAI CHU
5,25,tháng này,こんげつ,今月,KIM NGUYỆT
5,26,tháng sau,らいげつ,来月,LAI NGUYỆT
5,27,năm ngoái,きょねん,去年,KHỨ NIÊN
5,28,năm nay,ことし,今年,KIM NIÊN
5,29,năm sau,らいねん,来年,LAI NIÊN
5,30,tháng ~,～がつ,～月,NGUYỆT
5,31,tháng mấy,なんがつ,何月,HÀ NGUYỆT
5,32,ngày mồng 1,ついたち,一日,NHẤT NHẬT
5,33,"ngày mồng 2, 2 ngày",ふつか,二日,NHỊ NHẬT
5,34,"ngày mồng 3, 3 ngày",みっか,三日,TAM NHẬT
5,35,"ngày mồng 4, 4 ngày",よっか,四日,TỨ NHẬT
5,36,"ngày mồng 5, 5 ngày",いつか,五日,NGŨ NHẬT
5,37,"ngày mồng 6, 6 ngày",むいか,六日,LỤC NHẬT
5,38,"ngày mồng 7, 7 ngày",なのか,七日,THẤT NHẬT
5,39,"ngày mồng 8, 8 ngày",ようか,八日,BÁT NHẬT
5,40,"ngày mồng 9, 9 ngày",ここのか,九日,CỬU NHẬT
5,41,"ngày mồng 10, 10 ngày",とおか,十日,THẬP NHẬT
5,42,"ngày 14, 14 ngày",じゅうよっか,十四日,THẬP TỨ NHẬT
5,43,"ngày 20, 20 ngày",はつか,二十日,NHỊ THẬP NHẬT
5,44,"ngày 24, 24 ngày",にじゅうよっか,二十四日,NHỊ THẬP TỨ NHẬT
5,45,"ngày ~, ~ ngày",～にち,～日,NHẬT
5,46,"ngày mấy, ngày bao nhiêu, mấy ngày, bao nhiêu ngày",なんにち,何日,HÀ NHẬT
5,47,"bao giờ, khi nào",いつ,,
5,48,sinh nhật,たんじょうび,誕生日,ĐẢN SINH NHẬT
5,49,tàu thường,ふつう,普通,PHỔ THÔNG
5,50,tàu tốc hành,きゅうこう,急行,CẤP HÀNH
5,51,tàu tốc hành đặc biệt,とっきゅう,特急,ĐẶC CẤP
5,52,tiếp theo,つぎの,次の,THỨ
5,53,Không có gì,どういたしまして,,
5,54,sân ga số ~,～ばんせん,～番線,PHIÊN TUYẾN
5,55,tên một khu phố ở Kyushu,はかた,博多,BÁC ĐA
5,56,tên một khu phố ở Kyoto,ふしみ,伏見,PHỤC KIẾN
5,57,tên một khu phố ở Osaka,こうしえん,甲子園,GIÁP TỬ VIÊN
5,58,Lâu đài Osaka,おおさかじょう,大阪城,ĐẠI PHẢN THÀNH
6,1,ăn,たべます,食べます,THỰC
6,2,uống,のみます,飲みます,ẨM
6,3,hút thuốc lá,すいます,吸います,HẤP
6,4,"xem, nhìn, trông",みます,見ます,KIẾN
6,5,nghe,ききます,聞きます,VĂN
6,6,đọc,よみます,読みます,ĐỘC
6,7,"viết, vẽ",かきます,書きます,THƯ
6,8,mua,かいます,買います,MÃI
6,9,chụp ảnh,とります,撮ります,TOÁT
6,10,làm,します,,
6,11,gặp bạn,あいます,会います,HỘI
6,12,"cơm, bữa ăn",ごはん,ご飯,PHẠN
6,13,cơm sáng,あさごはん,朝ご飯,TRIỀU PHẠN
6,14,cơm trưa,ひるごはん,昼ご飯,TRÚ PHẠN
6,15,cơm tối,ばんごはん,晩ご飯,VÃN PHẠN
6,16,bánh mì,パン,,
6,17,trứng,たまご,卵,NOÃN
6,18,thịt,にく,肉,NHỤC
6,19,cá,さかな,魚,NGƯ
6,20,rau,やさい,野菜,DÃ THÁI
6,21,"hoa quả, trái cây",くだもの,果物,QUẢ VẬT
6,22,nước,みず,水,THỦY
6,23,trà,おちゃ,お茶,TRÀ
6,24,trà đen,こうちゃ,紅茶,HỒNG TRÀ
6,25,sữa bò,ぎゅうにゅう,牛乳,NGƯU NHŨ
6,26,sữa,ミルク,,
6,27,nước hoa quả,ジュース,,
6,28,bia,ビール,,
6,29,"rượu, rượu sake",［お］さけ,［お］酒,TỬU
6,30,"video, băng video, đầu video",ビデオ,,
6,31,"phim, điện ảnh",えいが,映画,ÁNH HỌA
6,32,đĩa CD,ＣＤ,,
6,33,thư,てがみ,手紙,THỦ CHỈ
6,34,báo cáo,レポート,,
6,35,ảnh,しゃしん,写真,TẢ CHÂN
6,36,"cửa hàng, tiệm",みせ,店,ĐIẾM
6,37,nhà hàng,レストラン,,
6,38,vườn,にわ,庭,ĐÌNH
6,39,bài tập về nhà,しゅくだい,宿題,TÚC ĐỀ
6,40,quần vợt,テニス,,
6,41,bóng đá,サッカー,,
6,42,việc ngắm hoa anh đào,［お］はなみ,［お］花見,HOA KIẾN
6,43,cái gì,なに,何,HÀ
6,44,"cùng, cùng nhau",いっしょに,一緒に,NHẤT TỰ
6,45,một chút,ちょっと,,
6,46,"luôn luôn, lúc nào cũng",いつも,,
6,47,thỉnh thoảng,ときどき,時々,THỜI
6,48,"sau đó, tiếp theo",それから,,
6,49,"vâng, được",ええ,,
6,50,"Được đấy nhỉ, hay quá",いいですね,,
6,51,"Tôi hiểu rồi, vâng ạ",わかりました,分かりました,PHÂN
6,52,"Có gì đấy ạ, cái gì vậy?",なんですか,何ですか,HÀ
6,53,Hẹn gặp lại ngày mai,じゃ、またあした,じゃ、また明日,MINH NHẬT
6,54,Mexico,メキシコ,,
6,55,Công viên lâu đài Osaka,おおさかじょうこうえん,大阪城公園,ĐẠI PHẢN THÀNH
7,1,cắt,きります,切ります,THIẾT
7,2,gửi,おくります,送ります,TỐNG
7,3,"cho, tặng",あげます,上げます,THƯỢNG
7,4,nhận,もらいます,貰います,LA
7,5,"cho mượn, cho vay",かします,貸します,THẢI
7,6,"mượn, vay",かります,借ります,TÁ
7,7,dạy,おしえます,教えます,GIÁO
7,8,"học, tập",ならいます,習います,TẬP
7,9,gọi điện thoại,かけます,電話をかけます,ĐIỆN THOẠI
7,10,tay,て,手,THỦ
7,11,đũa,はし,箸,TRỢ
7,12,thìa,スプーン,,
7,13,dao,ナイフ,,
7,14,nĩa,フォーク,,
7,15,kéo,はさみ,鋏,KIẾP
7,16,fax,ファクス,,
7,17,máy đánh chữ,ワープロ,,
7,18,máy vi tính cá nhân,パソコン,,
7,19,cái đục lỗ,パンチ,,
7,20,cái dập ghim,ホッチキス,,
7,21,băng dính,セロテープ,,
7,22,cái tẩy,けしゴム,消しゴム,TIÊU
7,23,giấy,かみ,紙,CHỈ
7,24,hoa,はな,花,HOA
7,25,áo sơ mi,シャツ,,
7,26,"quà tặng, tặng phẩm",プレゼント,,
7,27,"đồ đạc, hành lý",にもつ,荷物,HÀ VẬT
7,28,tiền,おかね,お金,KIM
7,29,vé,きっぷ,切符,THIẾT PHÙ
7,30,Giáng sinh,クリスマス,,
7,31,bố của mình,ちち,父,PHỤ
7,32,mẹ của mình,はは,母,MẪU
7,33,bố của người khác / dùng để gọi bố mình,おとうさん,お父さん,PHỤ
7,34,mẹ của người khác / dùng để gọi mẹ mình,おかあさん,お母さん,MẪU
7,35,"đã, rồi",もう,,
7,36,chưa,まだ,,
7,37,"từ bây giờ, sau đây",これから,,
7,38,"Hay nhỉ, đẹp nhỉ",すてきですね,素敵ですね,TỐ ĐỊCH
7,39,"Xin lỗi, có ai ở nhà không?",ごめんください,ご免ください,MIỄN
7,40,Chào mừng anh/chị đã đến chơi,いらっしゃい,,
7,41,Mời anh/chị vào,どうぞおあがりください,どうぞお上がりください,THƯỢNG
7,42,Xin thất lễ,しつれいします,失礼します,THẤT LỄ
7,43,Anh/chị dùng ~ có được không?,［～は］いかがですか,,
7,44,Xin nhận / mời dùng trước khi ăn uống,いただきます,,
7,45,"du lịch, chuyến du lịch",りょこう,旅行,LỮ HÀNH
7,46,quà,おみやげ,お土産,THỔ SẢN
7,47,Châu Âu,ヨーロッパ,,
7,48,Tây Ban Nha,スペイン,,
8,1,đẹp trai,ハンサム［な］,,
8,2,"đẹp, sạch",きれい［な］,綺麗［な］,Ỷ LỆ
8,3,yên tĩnh,しずか［な］,静か［な］,TĨNH
8,4,náo nhiệt,にぎやか［な］,賑やか［な］,CHẨN
8,5,nổi tiếng,ゆうめい［な］,有名［な］,HỮU DANH
8,6,"tốt bụng, thân thiện",しんせつ［な］,親切［な］,THÂN THIẾT
8,7,khỏe,げんき［な］,元気［な］,NGUYÊN KHÍ
8,8,rảnh rỗi,ひま［な］,暇［な］,HẠ
8,9,tiện lợi,べんり［な］,便利［な］,TIỆN LỢI
8,10,"đẹp, hay",すてき［な］,素敵［な］,TỐ ĐỊCH
8,11,"lớn, to",おおきい,大きい,ĐẠI
8,12,"bé, nhỏ",ちいさい,小さい,TIỂU
8,13,mới,あたらしい,新しい,TÂN
8,14,cũ,ふるい,古い,CỔ
8,15,tốt,いい,良い,LƯƠNG
8,16,xấu,わるい,悪い,ÁC
8,17,nóng,あつい,暑い,THỬ
8,18,"lạnh, rét",さむい,寒い,HÀN
8,19,"lạnh, buốt",つめたい,冷たい,LÃNH
8,20,khó,むずかしい,難しい,NAN
8,21,dễ,やさしい,易しい,DỊ
8,22,"đắt, cao",たかい,高い,CAO
8,23,rẻ,やすい,安い,AN
8,24,thấp,ひくい,低い,ĐÊ
8,25,"thú vị, hay",おもしろい,面白い,DIỆN BẠCH
8,26,ngon,おいしい,美味しい,MỸ VỊ
8,27,bận,いそがしい,忙しい,MANG
8,28,vui,たのしい,楽しい,LẠC
8,29,trắng,しろい,白い,BẠCH
8,30,đen,くろい,黒い,HẮC
8,31,đỏ,あかい,赤い,XÍCH
8,32,xanh da trời,あおい,青い,THANH
8,33,anh đào,さくら,桜,ANH
8,34,núi,やま,山,SƠN
8,35,"thị trấn, thị xã, thành phố",まち,町,ĐINH
8,36,đồ ăn,たべもの,食べ物,THỰC VẬT
8,37,xe ô tô,くるま,車,XA
8,38,"nơi, chỗ",ところ,所,SỞ
8,39,kí túc xá,りょう,寮,LIÊU
8,40,học,べんきょう,勉強,MIỄN CƯỜNG
8,41,"cuộc sống, sinh hoạt",せいかつ,生活,SINH HOẠT
8,42,công việc,［お］しごと,［お］仕事,SĨ SỰ
8,43,thế nào,どう,,
8,44,~ như thế nào,どんな～,,
8,45,cái nào,どれ,,
8,46,"rất, lắm",とても,,
8,47,không ~ lắm,あまり,,
8,48,"và, thêm nữa",そして,,
8,49,"~, nhưng ~",～が、～,,
8,50,Anh/chị có khỏe không?,おげんきですか,お元気ですか,NGUYÊN KHÍ
8,51,"Thế à, như vậy nhỉ",そうですね,,
8,52,Anh/chị đã quen với cuộc sống ở Nhật chưa?,にほんのせいかつになれましたか,日本の生活に慣れましたか,NHẬT BẢN SINH HOẠT
8,53,Anh/chị dùng thêm một chén ~ nữa được không?,［～、］もういっぱい いかがですか,［～、］もう一杯いかがですか,NHẤT BÔI
8,54,"Không, đủ rồi ạ",いいえ、けっこうです,いいえ、結構です,KẾT CẤU
8,55,Đã ~ rồi nhỉ,もう～です［ね］,,
8,56,Sắp đến lúc tôi phải xin phép rồi,そろそろしつれいします,そろそろ失礼します,THẤT LỄ
8,57,Lần sau anh/chị lại đến chơi nhé,またいらっしゃってください,,
8,58,Núi Phú Sĩ,ふじさん,富士山,PHÚ SĨ SƠN
8,59,Hồ Biwa,びわこ,琵琶湖,TỲ BÀ HỒ
8,60,Thượng Hải,シャンハイ,上海,THƯỢNG HẢI
8,61,Bảy chàng võ sĩ Samurai,しちにんのさむらい,七人の侍,THẤT NHÂN THỊ
8,62,Chùa Kinkaku-ji,きんかくじ,金閣寺,KIM CÁC TỰ
9,1,"hiểu, nắm được",わかります,分かります,PHÂN
9,2,"có, sở hữu",あります,,
9,3,thích,すき［な］,好き［な］,HẢO
9,4,"ghét, không thích",きらい［な］,嫌い［な］,HIỀM
9,5,"giỏi, khéo",じょうず［な］,上手［な］,THƯỢNG THỦ
9,6,kém,へた［な］,下手［な］,HẠ THỦ
9,7,"món ăn, việc nấu ăn",りょうり,料理,LIỆU LÝ
9,8,đồ uống,のみもの,飲み物,ẨM VẬT
9,9,thể thao,スポーツ,,
9,10,bóng chày,やきゅう,野球,DÃ CẦU
9,11,"nhảy, khiêu vũ",ダンス,,
9,12,âm nhạc,おんがく,音楽,ÂM NHẠC
9,13,bài hát,うた,歌,CA
9,14,nhạc cổ điển,クラシック,,
9,15,nhạc jazz,ジャズ,,
9,16,buổi hòa nhạc,コンサート,,
9,17,karaoke,カラオケ,,
9,18,Kabuki,かぶき,歌舞伎,CA VŨ KỸ
9,19,"tranh, hội họa",え,絵,HỘI
9,20,chữ,じ,字,TỰ
9,21,chữ Hán,かんじ,漢字,HÁN TỰ
9,22,chữ Hiragana,ひらがな,平仮名,BÌNH GIẢ DANH
9,23,chữ Katakana,かたかな,片仮名,PHIẾN GIẢ DANH
9,24,chữ La Mã,ローマじ,ローマ字,TỰ
9,25,tiền lẻ,こまかいおかね,細かいお金,TẾ KIM
9,26,"vé xem hòa nhạc, xem phim",チケット,,
9,27,thời gian,じかん,時間,THỜI GIAN
9,28,"việc bận, công chuyện",ようじ,用事,DỤNG SỰ
9,29,"cuộc hẹn, lời hứa",やくそく,約束,ƯỚC THÚC
9,30,chồng của người khác,ごしゅじん,ご主人,CHỦ NHÂN
9,31,chồng của mình,おっと／しゅじん,夫／主人,PHU / CHỦ NHÂN
9,32,vợ của người khác,おくさん,奥さん,ÁO
9,33,vợ của mình,つま／かない,妻／家内,THÊ / GIA NỘI
9,34,con cái,こども,子供,TỬ CUNG
9,35,"tốt, rõ",よく,,
9,36,"đại khái, đại thể",だいたい,大体,ĐẠI THỂ
9,37,nhiều,たくさん,沢山,TRẠCH SƠN
9,38,"ít, một ít",すこし,少し,THIỂU
9,39,hoàn toàn không,ぜんぜん,全然,TOÀN NHIÊN
9,40,"sớm, nhanh",はやく,早く,TẢO
9,41,~ từ,～から,,
9,42,tại sao,どうして,,
9,43,"Thật đáng tiếc nhỉ, buồn nhỉ",ざんねんですね,残念ですね,TÀN NIỆM
9,44,Xin lỗi,すみません,,
9,45,a-lô,もしもし,,
9,46,"a, à",ああ,,
9,47,Anh/chị cùng ~ với chúng tôi được không?,いっしょにいかがですか,一緒にいかがですか,NHẤT TỰ
9,48,~ thì có lẽ không được rồi,［～は］ちょっと…,,
9,49,Không được à?,だめですか,駄目ですか,ĐÀ MỤC
9,50,Hẹn anh/chị lần sau vậy,またこんどおねがいします,また今度お願いします,KIM ĐỘ
9,51,Ozawa Seiji,おざわせいじ,小澤征爾,TIỂU TRẠCH CHINH NHĨ
10,1,"có, ở",います,,
10,2,có,あります,,
10,3,"nhiều, đa dạng",いろいろ［な］,色々［な］,SẮC SẮC
10,4,người đàn ông,おとこのひと,男の人,NAM NHÂN
